"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MOUNT TYPE","POWER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER 7","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SUPPLIER PART NUMBER 7","TOLERANCE","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"RNCP0805FTD10K0","R0805_MD","","RNCP0805FTD10K0","","Stackpole Electronics Inc.","","SMD","1/4W","Digi-Key","Farnell","Digi-Key","Digi-Key","Arrow","","","RNCP0805FTD10K0TR-ND","1576473","RNCP0805FTD10K0CT-ND","RNCP0805FTD10K0DKR-ND","Cr6bAvbXXfw9aDhrtEtfpCMPYzlChi6THi2wt_G3woc","","","1%","10KR","*","R?","RES SMD 10K OHM 1% 1/4W 0805"
"RNCP0805FTD150R","R0805_MD","","RNCP0805FTD150R","","Stackpole Electronics Inc.","","SMD","0.25W","Digi-Key","","","","","","","RNCP0805FTD150RCT-ND","","","","","","","1%","150R","*","R?","RES SMD 150 OHM 1% 1/4W 0805"
"RNCP0805FTD18K2","R0805_MD","","RNCP0805FTD18K2","","Stackpole Electronics Inc.","","SMD","1/4W","Digi-Key","","","","","","","RNCP0805FTD18K2CT-ND","","","","","","","1%","18KR","*","R?","RES SMD 18.2K OHM 1% 1/4W 0805"
"RNCP0805FTD1K00","R0805_MD","","RNCP0805FTD1K00","","Stackpole Electronics Inc.","","SMD","1/4W","Arrow","Digi-Key","","","","","","Cr6bAvbXXfw9aDhrtEtfpP4Qw9G0CbDuyktk-hMyCGE","RNCP0805FTD1K00DKR-ND","","","","","","1%","1KR","*","R?","RES SMD 1K OHM 1% 1/4W 0805"
"RNCP0805FTD1K50","R0805_MD","","RNCP0805FTD1K50","","Stackpole Electronics Inc.","","SMD","1/4W","Digi-Key","Digi-Key","","","","Digi-Key","","RNCP0805FTD1K50CT-ND","RNCP0805FTD1K50DKR-ND","","","","RNCP0805FTD1K50TR-ND","","1%","1k5","*","R?","RES SMD 1.5K OHM 1% 1/4W 0805"
"RNCP0805FTD22K1","R0805_MD","","RNCP0805FTD22K1","","Stackpole Electronics Inc.","","SMD","1/4W","Arrow","Digi-Key","Digi-Key","Digi-Key","","","","yaxfc_XJzLb6q6X2XdbqQDJh6jsctqqpvjmLy0SBzwU","RNCP0805FTD22K1TR-ND","RNCP0805FTD22K1CT-ND","RNCP0805FTD22K1DKR-ND","","","","1%","22K1R","*","R?","RES SMD 22.1K OHM 1% 1/4W 0805"
"RNCP0805FTD56K2","R0805_MD","","RNCP0805FTD56K2","","Stackpole Electronics Inc.","","SMD","1.5W","Mouser","Digi-Key","Digi-Key","Digi-Key","","","","Anonymous Daily Limit Reached","RNCP0805FTD56K2TR-ND","RNCP0805FTD56K2CT-ND","RNCP0805FTD56K2DKR-ND","","","","1%","56K2R","*","R?","RES SMD 56.2K OHM 1% 1/4W 0805"
"RNF12FTD100R","RES_AXIAL_0.4","","RNF12FTD100R","","Stackpole Electronics Inc","","PTH","1/2W","Digi-Key","","","","","","","RNF12FTD100RCT-ND","","","","","","","1%","100R","*","R?","RES 100 OHM 1/2W 1% AXIAL"
"RNF14FTD150K","RES_AXIAL_0.4","","RNF14FTD150K","","Stackpole Electronics Inc","","PTH","1/4W","","","","","","","","","","","","","","","1%","150k","*","R?","RES 150K OHM 1/4W 1% AXIAL"
"RNF14FTD1K00","RES_AXIAL_0.4","","RNF14FTD1K00","","Stackpole Electronics Inc.","","PTH","1/4W","Newark","Farnell","Digi-Key","","","","","92B3651","4677341","RNF14FTD1K00CT-ND","","","","","1%","1K","*","R?","RES 1K OHM 1/4W 1% AXIAL"
"RNF14FTD1M00","RES_AXIAL_0.4","","RNF14FTD1M00","","Stackpole Electronics Inc","","PTH","1/4W","Newark","Digi-Key","","","","","","67T0186","RNF14FTD1M00CT-ND","","","","","","1%","1M","*","R?","RES 1M OHM 1/4W 1% AXIAL"
"RNMF14FTC10K0","RES_AXIAL_0.4","","RNMF14FTC10K0","","Stackpole Electronics Inc","","PTH","1/4W","Digi-Key","","","","","","","S10KCATR-ND","","","","","","","1%","10k","*","R?","RES 10K OHM 1/4W 1% AXIAL"
"RNMF14FTC180R","RES_AXIAL_0.4","","RNMF14FTC180R","","Stackpole Electronics Inc","","PTH","1/4W","Digi-Key","","","","","","","S180CACT-ND","","","","","","","1%","180R","*","R?","RES 180 OHM 1/4W 1% AXIAL"
"RNMF14FTC220R","RES_AXIAL_0.4","","RNMF14FTC220R","","Stackpole Electronics Inc","","PTH","1/4W","Digi-Key","","","","","","","S220CACT-ND","","","","","","","1%","220R","*","R?","RES 220 OHM 1/4W 1% AXIAL"
"RNMF14FTC330R","RES_AXIAL_0.4","","RNMF14FTC330R","","Stackpole Electronics Inc","","PTH","1/4W","Digi-Key","","","","","","","S330CACT-ND","","","","","","","1%","330R","*","R?","RES 330 OHM 1/4W 1% AXIAL"
"RNMF14FTC39K0","RES_AXIAL_0.4","","RNMF14FTC39K0","","Stackpole Electronics Inc","","PTH","1/4W","Digi-Key","","","","","","","S39KCACT-ND","","","","","","","1%","39k","*","R?","RES 39K OHM 1/4W 1% AXIAL"
"RNMF14FTC3K00","RES_AXIAL_0.4","","RNMF14FTC3K00","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","S3KCACT-ND","","","","","","","1%","3K","*","R?","RES 3K OHM 1/4W 1% AXIAL"
"RNMF14FTC510R","RES_AXIAL_0.4","","RNMF14FTC510R","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","S510CACT-ND","","","","","","","1%","510R","*","R?","RES 510 OHM 1/4W 1% AXIAL"
"RNMF14FTC6K20","RES_AXIAL_0.4","","RNMF14FTC6K20","","Stackpole Electronics Inc.","","PTH","1/4W","Digi-Key","","","","","","","S6.2KCACT-ND","","","","","","","1%","6.2K","*","R?","RES 6.2K OHM 1/4W 1% AXIAL"
"RP73PF1E4K02BTD","R0402_MD","","RP73PF1E4K02BTD","","TE Connectivity Passive Product","","SMD","1/10W","","","","","","","","","","","","","","","0,1%","4k02","*","R?","RES 4.02K OHM 0.1% 1/10W 0402"
"RPC2512JT330R","R2512_MD","","RPC2512JT330R","","Stackpole Electronics Inc.","","SMD","1.5W","Arrow","Digi-Key","Digi-Key","Farnell","","","","yNegJvnE5V9WryrksIh88Kg3SSRUeSrh8gMpSJnf5xk","RPC2512JT330RCT-ND","RPC2512JT330RDKR-ND","1831572","","","","5%","330R","*","R?","RES SMD 330 OHM 5% 1.5W 2512"
"RT0603BRE07150KL","R0603_MD","","RT0603BRE07150KL","","Yageo","","SMD","1/10W","Digi-Key","","","","","","","YAG4629CT-ND","","","","","","","0.1%","150k","*","R?","RES SMD 150K OHM 0.1% 1/10W 0603"
"RT0603BRE078K25L","R0603_MD","","RT0603BRE078K25L","","Yageo","","SMD","1/10W","Digi-Key","Avnet","","","","","","YAG4782CT-ND","RT0603BRE078K25L","","","","","","0.1%","8.25k","*","R?","RES SMD 8.25KOHM 0.1% 1/10W 0603"
"RUT2012FR200CS","R0805_MD","","RUT2012FR200CS","","Samsung Electro-Mechanics America, Inc","","SMD","1/4W","Digi-Key","","","","","","","1276-6171-1-ND","","","","","","","1%","0.2R","*","R?","RES 0.2R OHM 1/4W 1% 0805"
"RUT5025FR120CS","R2010_MD","","RUT5025FR120CS","","Samsung Electro-Mechanics America","","smd","2/3w","Digi-Key","","","","","","","1276-6182-1-ND","","","","","","","1%","0.12R","*","R?","RES 0.12 OHM 2/3W 1% 2010"
"TRR03EZPF3004","R0603_MD","","TRR03EZPF3004","","Rohm Semiconductor","","SMD","1/10W","Digi-Key","","","","","","","RHM3MBJCT-ND","","","","","","","1%","3M","*","R?","RES 3M OHM 1/10W 1% 0603 SMD"
